name,phone_numbers,officialPhone,email,websites,officialWebsite,facebookLink,address_line1,address_line2,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,facilityTypeId,operatorTypeId,description,specialties,procedure,equipment,capability,distinct_social_media_presence_count,affiliated_staff_presence,custom_logo_presence,engagement_metrics_n_followers,engagement_metrics_n_likes,engagement_metrics_n_engagements,latitude,longitude
City Ultrasound,"[""+919955773245"",""+919939810028""]",+919955773245,null,"[""https://www.justdial.com/Saharsa/City-Ultrasound-Infront-Of-Vivo-Service-Centre-Agwanpur/9999P6478-6478-150104121404-M8C1_BZDET"",""https://www.facebook.com/759814914062691""]",null,https://www.facebook.com/759814914062691,"गांधी पथ,डॉ इस्सार नर्सिंग होम से पहले","Infront Of Vivo Service Centre, Gandhi Path",Saharsa,Bihar,852201.0,India,IN,hospital,private,The Best ultrasound in town. I insure best ultrasound report with the help of Latest machine.,"[""musculoskeletalRadiology"",""radiology"",""familyMedicine"",""internalMedicine"",""pediatricRadiology""]","[""Provides Doppler ultrasound with 3D and 4D imaging services"",""Provides diagnostic ultrasound imaging""]","[""Ultrasound imaging equipment capable of Doppler imaging and 3D/4D imaging""]","[""Open 24 hours"",""Does not perform gender determination testing""]",0.0,null,false,null,null,null,25.88205337524410,86.5902938842773
City Ultrasound and Diagnostic Centre,"[""+919855666636"",""+911672235981""]",+911672235981,mayankbansal15@gmail.com,"[""https://www.facebook.com/people/City-ultrasound-centre/100087038145577/"",""https://www.facebook.com/540737253105150"",""cityultrasoundcenter.com"",""https://www.mappls.com/xyc7hs"",""https://www.scribd.com/document/605311493/299542669-List-of-Registered-Ultrasound-and-Diagnostic-Centres-in-Punjab""]",cityultrasoundcenter.com,https://www.facebook.com/540737253105150,Dhuri Road,"Prem Basti, Partap Nagar",Amritsar,Punjab,148001.0,India,IN,clinic,private,Ultrasound and diagnostic centre,"[""maternalFetalMedicineOrPerinatology"",""radiology"",""familyMedicine"",""gynecologyAndObstetrics"",""diagnosticRadiology""]","[""Performs abdominal ultrasounds"",""Performs antenatal ultrasounds"",""Performs diagnostic ultrasonography (ultrasound scans)"",""Performs gynecological ultrasounds""]",[],"[""Radiologist on staff: Dr. Amarjit Sharma"",""Offers diagnostic ultrasound services at City Ultrasound and Diagnostic Centre in Amritsar"",""Ultrasonologist on staff: Smt. Pooja Rani""]",1.0,true,null,28.0,26.0,3.0,30.25457763671870,75.8343353271484
CityCare Dental Centre,"[""+917506025724""]",null,null,"[""https://heyhealthclinics.in/01962206/CityCare_Dental_Centre"",""http://www.practo.com/mumbai/clinic/city-care-dental-vileparle-west""]",http://www.practo.com/mumbai/clinic/city-care-dental-vileparle-west,https://www.facebook.com/305742493159032,"1st Floor, 'b' Wing, Viral Apartment, S.v. Road, Opp. Shopper's Stop",null,Andheri West,Mumbai,400058.0,India,IN,dentist,null,null,"[""oralAndMaxillofacialSurgery"",""dentistry""]","[""Provides dental treatment across multiple dental specialties"",""Has an oral surgeon on staff""]","[""State-of-the-art dental equipment""]","[""Multi-speciality dental clinic in Andheri West, Mumbai""]",null,null,null,null,null,null,19.11519813537590,72.8428421020507
CityCare Medical Center,"[""+918048127254"",""+919890588303""]",+918048127254,ccmcwakad@gmail.com,"[""citycaremedicalcenterpune.com"",""https://www.facebook.com/106259798566988"",""https://www.citycaremedicalcenterpune.com/doctor/comprehensive-eye-specialist-cataract-surgeon/dr-shweta-ranjan-details/61b0b2a4ea68fd9900df5f0e"",""https://www.citycaremedicalcenterpune.com/""]",citycaremedicalcenterpune.com,https://www.facebook.com/106259798566988,The Address Commercia,Shop No 301-304,Wakad,Maharashtra,411057.0,India,IN,hospital,private,"CityCare Medical Center from Wakad,Pune is a Reliable and one of the Best Neuro Surgery Hospital, General Surgery Hospital, Ophthalmology Hospital, Gynecology and Obstetrics Hospital, Gastroenterology Hospital, Orthopedics Treatment Hospital in Wakad,Hinjewadi,Balewadi,Baner and entire PCMC. We are a Multispecialty Hospital, striving to provide Medical & Surgical services under one roof. For us, Patient First!","[""ophthalmology"",""familyMedicine"",""gastroenterology"",""gynecologyAndObstetrics"",""internalMedicine"",""orthopedicSurgery"",""generalSurgery"",""neurosurgery"",""familyPlanningAndComplexContraception""]","[""Gynecology and obstetrics services are provided at CityCare Medical Center"",""Gastroenterology services are provided at CityCare Medical Center"",""Physiotherapy services are offered at CityCare Medical Center Wakad"",""Ophthalmology services are provided at CityCare Medical Center"",""Orthopedic services are provided at CityCare Medical Center"",""Medical termination of pregnancy (MTP) services are offered at the Wakad centre"",""Neurosurgery services are provided at CityCare Medical Center"",""General surgery services are provided at CityCare Medical Center Wakad"",""General physician consultations are provided at CityCare Medical Center""]","[""Operating room includes an operating table as seen in the gallery images"",""Ophthalmology equipment including an ophthalmic microscope is visible in CityCare Medical Center gallery images"",""Operating theatre available for surgical procedures at CityCare Medical Center""]","[""General Surgery Hospital services in Wakad, Hinjewadi, PCMC"",""Ophthalmology Hospital services in Wakad, Hinjewadi, PCMC"",""Neuro Surgery Hospital services in Wakad, Hinjewadi, PCMC"",""MTP Centre in Wakad, Hinjewadi, PCMC"",""Provides physiotherapy services in Wakad, Hinjewadi, PCMC"",""Located in Wakad, Pune"",""Multispecialty hospital offering medical and surgical services under one roof"",""Gastroenterology Hospital services in Wakad, Hinjewadi, PCMC"",""Gynecology and Obstetrics Hospital services in Wakad, Hinjewadi, PCMC"",""Orthopedic Hospital services in Wakad, Hinjewadi, PCMC"",""General Physician services in Wakad, Hinjewadi, PCMC"",""Online appointment booking unavailable"",""Provides MTP Centre and a range of specialty clinics including neurosurgery, orthopedics, ophthalmology, gynecology and obstetrics, gastroenterology""]",1.0,true,true,null,null,null,18.59395217895500,73.7569427490234
Citymed Dental Department,"[""+919289400531""]",+919289400531,drrajeev94@gmail.com,"[""https://in.linkedin.com/company/citymed-noida"",""https://www.practo.com/noida/clinic/citymed-ent-dental-speech-and-hearing-centre-sector-75-1"",""https://www.facebook.com/101974962867309"",""https://citymedcentre.com/about-us/"",""https://www.facebook.com/p/Citymed-ENT-Dental-Speech-Hearing-Center-100091525629897/"",""https://www.practo.com/noida/clinic/citymed-ent-dental-speech-and-hearing-centre-sector-75-1/dentist-ps-8"",""citymedcentre.com"",""https://citymedcentre.com/services/"",""https://citymedcentre.com/""]",citymedcentre.com,https://www.facebook.com/101974962867309,Studio 24 Futec Gateway,Sector 75,Noida,Uttar Pradesh,201301.0,India,IN,dentist,private,"Citymed Dental Department At Citymed we specializes in the diagnosis, treatment, and prevention of oral health problems. We are trained to provide a range of dental services, such as cleanings, fillings, extractions, and root canals. Dentists also educate patients on how to care for their teeth and gums to prevent future dental problems.","[""surgicalOncology"",""speechAndLanguageTherapy"",""skullBaseNeurosurgery"",""familyMedicine"",""otolaryngology"",""orthodontics"",""prosthodontics"",""dentoalveolarSurgery"",""headAndNeckSurgeryOtolaryngology"",""endodontics"",""dentistry"",""allergyAndImmunology""]","[""RESTORATIONS (FILLINGS"",""Hearing Aid Fitting"",""All Types of Denture"",""Autism"",""Restorations (Filling)"",""Speech And Language Therapy"",""Snoring and Sleep Surgery"",""BEHAVIOR THERAPY"",""Allergy Test (SPT) And Immunotherapy"",""Painless tooth extraction and disimpaction"",""MISARTICULATION"",""Provides zirconia crowns"",""HEARING AID FITTING"",""All types of dentures"",""APHASIA"",""SINGLE SITTING ROOT CANAL TREATMENT"",""Painless Tooth Extraction And Disimpaction"",""STAMMERING"",""DENTAL CROWNS & BRIDGES"",""Head and Neck Cancer Treatment"",""Functional Endoscopic Sinus Surgery"",""Acoustic Reflex Testing"",""Skull Base Surgery"",""Video Endoscopy for Nose, Larynx, Bronchus, Pharynx, Esophagus, Ear"",""ADHD"",""Restorations (fillings)"",""Dental crowns and bridges"",""Gum disease treatment"",""Ultrasonic scaling and tooth polishing"",""Performs tooth extraction"",""Provides scaling / polishing"",""Single sitting root canal treatment"",""Cochlear Implants"",""Auidiometry Test"",""ALTERNATIVE BEHAVIORAL THERAPY"",""Micro Ear Surgery"",""PAINLESS TOOTH EXTRACTION AND DISIMPACTION"",""Ultrasonic Scaling And Tooth Polishing"",""Orthodontic Treatment"",""ENT or Otolaryngology Surgery"",""Digital Hearing Aid"",""Single Sitting Root Canal Treatment"",""ALL TYPES OF DENTURE"",""ULTRASONIC SCALING AND TOOTH POLISHING"",""Dental Crowns & Bridges"",""Stammering"",""Impedance Audiometry"",""Vertigo And Tinnitus Management"",""ACOUSTIC REFLEX TESTING"",""AUTISM"",""Speech and Language Therapy""]","[""Audiometry and Impedance Audiometry Equipment"",""Video Endoscopy System for ENT examinations"",""Acoustic Reflex Testing Equipment"",""Digital Hearing Aid Devices"",""Cochlear Implant System""]","[""Has senior ENT surgeon with 17 years of experience"",""Provides outpatient medical services including routine check-ups, preventive care, diagnosis and treatment of illnesses and injuries, and management of chronic conditions"",""Cochlear implants available"",""Diagnosis, treatment, and prevention of oral health problems"",""Dentists educate patients on how to care for their teeth and gums to prevent future dental problems"",""Offers ENT, dental and speech therapy services"",""Dental services including cleanings, fillings, extractions, root canals, crowns and bridges, and dentures"",""Dentistry clinic in Noida"",""Video Endoscopy capability for ENT assessment"",""Headquartered in Noida, Uttar Pradesh"",""Clinic facility delivering ENT, dental, and speech therapy services"",""Cochlear implant services"",""Noida-based leading ENT and Dental clinic in India"",""Specialties include ENT, dental, speech and dental implants"",""Provides integrated in-house access to doctor, pharmacy, specialists, testing, and x-rays"",""Staff includes Dr. Nimisha Kumari, MDS - Periodontics, BDS; Periodontist and Implantologist; 16 years of experience"",""Outpatient diagnostic and treatment services"",""Has a dentist with 11 years of experience in Periodontics and Implantology"",""Treats both adults and children"",""Office-based evaluation and treatment in a single visit"",""Has 2-10 employees"",""ENT, Dental and Speech & Hearing Center in Noida"",""Established in 2015""]",4.0,true,true,38.0,29.0,null,28.57170295715330,77.3832550048828
CityMed Hospital Kharupetia,"[""+919101267710""]",+919101267710,citymedkharupetia@gmail.com,"[""https://citymed.in/"",""https://www.facebook.com/106416284668135"",""citymed.in"",""https://ghybiz.com/dt_listing/kharupetia-citymed-hospital-best-medicine-doctor-at-kharupetia-darrang/"",""https://www.facebook.com/citymedclinic/""]",citymed.in,https://www.facebook.com/106416284668135,Nageshwer Chariali Near Vishal Mega Mart,No.1 Thekerabari,Kharupetia,Assam,784115.0,India,IN,hospital,null,"All in one Health Care platform now in Kharupetia. Get the services of the best Doctors, state of art laboratory and 24*7 pharmacy with home delivery facilities.","[""internalMedicine""]",null,null,null,4.0,false,null,318.0,null,null,26.75323867797850,94.2193527221679
CityMeds Diagnostics,"[""+919111413200""]",null,citymeds.diagnostics@gmail.com,"[""https://www.facebook.com/101869878902783""]",null,https://www.facebook.com/101869878902783,"Ch-238, Sch. No. 74-c",Behind Apollo Hospital Vijay Nagar,Indore,Madhya Pradesh,452001.0,India,IN,clinic,null,Diagnostics centre,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,22.75904083251950,75.8859863281250
Civil Hospital Kotli,"[""+911905281231""]",+911905281231,moicchckotli@yahoo.in,"[""https://hpmandi.nic.in/public-utility-category/hospitals/""]",null,https://www.facebook.com/346802222513168,8f3d14a6e341472,null,Kotli,Himachal Pradesh,175003.0,India,IN,hospital,null,null,"[""internalMedicine""]",[],[],"[""Civil Hospital Kotli is categorized as a Civil Hospital"",""Civil Hospital Kotli is listed among Hospitals in the Public Utilities directory for District Mandi, Himachal Pradesh""]",3.0,true,false,null,null,null,31.75975990295410,76.8718872070312
Civil Hospital Kurud | Kurud,"[""+918305042800""]",null,null,"[""https://www.facebook.com/140392226662843"",""https://dhamtari.gov.in/en/departments/health/""]",null,https://www.facebook.com/140392226662843,Kurud City Rd,null,Kurud,Chhattisgarh,493663.0,India,IN,hospital,public,"Civil Hospital Kurud is a government hospital located in Kurud, Dhamtari district, Chhattisgarh, India.","[""internalMedicine""]",[],[],"[""Located in Kurud block"",""Handled a diarrhea outbreak in Anwari with 17 patients treated as of September 5, 2024."",""Government health facility"",""Located in Kurud, Chhattisgarh, India.""]",2.0,true,true,0.0,7.0,null,20.83109092712400,81.7170486450195
Civil Hospital Raman Mandi,"[""+919461394114""]",null,null,"[""https://www.facebook.com/pages/Civil-Hospital-Raman-Mandi/767866806597848""]",null,https://www.facebook.com/767866806597848,8f424b8c6b29980,null,Raman Mandi,Punjab,151301.0,India,IN,hospital,public,"Civil hospital Raman mandi,Bathinda Raman, Punjab region, India 151301","[""internalMedicine""]",null,null,null,null,null,null,null,null,null,29.96159172058100,74.9640197753906
"CJ Hospital, Surendranagar","[""+912752220882""]",null,null,"[""https://www.hexahealth.com/rajkot/doctor/dr-hemal-motani-general-surgeon""]",null,https://www.facebook.com/216176091586130,"Vadlilal Chawk, Nr. Rpp School, Surendranagar.",null,Surendranagar,Surendranagar District,363035.0,India,IN,hospital,null,"Dr Hemal Motani is a consultant at CJ Hospital, Surendranagar.","[""surgicalOncology"",""ophthalmology"",""urology"",""nephrology"",""cardiology"",""otolaryngology"",""gynecologyAndObstetrics"",""internalMedicine"",""orthopedicSurgery"",""gastroenterology"",""plasticSurgery"",""generalSurgery"",""neurosurgery""]",null,null,"[""CJ Hospital, Surendranagar employs Dr Hemal Motani as Consultant General Surgeon.""]",6.0,false,true,null,null,null,22.73407173156730,71.6493225097656
Clarity HearCare,"[""+918778399369""]",+918778399369,wehear@clarityhearcare.com,"[""https://www.mappls.com/place-clarity+hearcare-john+selvaraj+nagar-kumbakonam-tamil+nadu-612001-94y9k3@zdata=MTAuOTU4ODcrNzkuMzg2MDQ1KzE3Kzk0eTlrMysred"",""http://www.clarityhearcare.com/"",""clarityhearcare.com"",""https://www.facebook.com/120635643115388""]",clarityhearcare.com,https://www.facebook.com/120635643115388,"12, Shop 10, First Floor, Holy Angels Shopping Complex","Kaliya Street (lal Khan Lane), Near Srm Travels, Opposite Hanumar Koil Pond",Kumbakonam,Tamil Nadu,612001.0,India,IN,clinic,private,Audiology and Hearing Aid Center; Sales | Service | Spares,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,10.95513725280760,79.3869018554687
Claro Clinic,"[""+919322396396""]",null,null,"[""https://www.practo.com/mumbai/doctor/soma-sarkar-aesthetic-dermatologist"",""http://www.claroclinic.com/book-an-appointment/""]",http://www.claroclinic.com/book-an-appointment/,https://www.facebook.com/175398086713004,"2nd Floor, Shivalaya, Chandavarkar Road, At Junction Of Maharashtra Lane, Next To Kotak Mahindra Bank, Borivali West",null,Bandra West,Mumbai,400066.0,India,IN,clinic,null,Claro Clinic is listed among Top Aesthetic Dermatologist Clinics in Bandra West.,"[""familyMedicine"",""dermatology"",""cosmeticDermatology""]",[],[],"[""Listed among Top Aesthetic Dermatologist Clinics in Bandra West""]",5.0,true,false,null,null,null,19.22762107849120,72.8560333251953
Classic Laboratories,"[""+917200778266""]",+917200778266,classiclaboratories20@gmail.com,"[""https://www.facebook.com/110263130841730""]",null,https://www.facebook.com/110263130841730,"No.02, Venugopal Street",Guduvanchery,Guduvanchery,Tamil Nadu,603202.0,India,IN,clinic,private,Diagnostic Center,"[""pathology"",""familyMedicine""]",[],[],"[""Offers Master Health Checkup program"",""Free home collection for Master Health Checkup"",""Operates as a diagnostic center""]",1.0,null,null,2.0,2.0,null,12.84161281585690,80.0559082031250
Classical Acupuncture Clinic,"[""+919886258725"",""+918105811888""]",+919886258725,drraghunathan.magadi@gmail.com,"[""https://www.justdial.com/Bangalore/Classical-Acupuncture-Behind-Karnataka-Bank-Uttarahalli/080PXX80-XX80-230808164306-Y7Y4_BZDET"",""https://www.practo.com/bangalore/doctor/drraghunathan-acupuncturist"",""https://www.facebook.com/157160228274638""]",https://www.practo.com/bangalore/doctor/drraghunathan-acupuncturist,https://www.facebook.com/157160228274638,"43, Kempaiah Complex (near Vijaya Bank)",Nagarabhavi Main Road,Bangalore,Karnataka,560061.0,India,IN,clinic,private,Provides acupuncture and pranic healing.,"[""familyMedicine""]","[""Offers acupuncture therapy""]","[""Acupuncture needles used in treatment (visible in photos)""]","[""Acupuncture clinic offering traditional acupuncture services""]",0.0,false,false,0.0,0.0,0.0,12.96800136566160,77.5241622924804
Classical Homeo Care,"[""+917010912400""]",+917010912400,ahilhom@gmail.com,"[""https://www.ohohomeopathy.com/homeopathy/homeopathy-clinics-in-salem-tamil-nadu.php"",""https://classical-homeo-care.business.site/"",""classical-homeo-care.business.site"",""https://www.facebook.com/101787032131722""]",classical-homeo-care.business.site,https://www.facebook.com/101787032131722,"175, Main Road",Near Hotel Ashwa Park,Salem,Tamil Nadu,636302.0,India,IN,clinic,private,Speciality - Homeopathy Clinic; Medicine - Homeopathy,"[""familyMedicine"",""dermatology""]",[],[],"[""Classical Homeo Care is a Homeopathy Clinic"",""Speciality - Homeopathy Clinic"",""Rated 5.0 with 26 reviews on OHO Homeopathy"",""Located in Salem, Tamil Nadu, India""]",4.0,true,null,1.0,1.0,null,11.68377971649170,78.1136398315429
Classical Homoeopathic Health Centre Parel Mumbai,"[""+919969025577""]",+919969025577,hhcmumbai@gmail.com,"[""drdhawale.com"",""https://www.justdial.com/Mumbai/Classical-Homeopathic-Health-Centre-Opposite-Maharashtra-Guest-House-Plot-No702-Opp-Premiere-Theatre-Above-D-J-The-Avenue-Parel/022PXX22-XX22-160519120033-H1P6_BZDET"",""https://www.facebook.com/1318207721539134"",""https://www.sulekha.com/classical-homoeopathic-health-centre-parel-mumbai-contact-address"",""http://www.drdhawale.com/""]",drdhawale.com,https://www.facebook.com/1318207721539134,"Ratan Central, Dr. Babasaheb Ambedkar Road Opp Maharashtra Guest House",Parel,Mumbai,Maharashtra,400012.0,India,IN,clinic,private,"Classical Homoeopathic Health Centre in Parel, Mumbai has 16 years of experience in homeopathy services and offers Homeopathy Doctors.","[""familyMedicine"",""nephrology"",""dentistry""]",[],[],"[""Has 24 years in healthcare"",""Has 3 doctors on staff""]",1.0,true,false,null,null,null,19.00667190551750,72.8411788940429
Classical Practice of Ayurveda By Dr. Ravi Bharti,"[""+919450607306""]",+919450607306,drravibharti@gmail.com,"[""https://www.facebook.com/106646727716884"",""https://www.justdial.com/Lucknow/Dr-Ravi-Bharti-Near-Gomti-Nagar/0522PX522-X522-181026155739-F1H3_BZDET""]",null,https://www.facebook.com/106646727716884,Gf .17 Lda Complex Vishwash Khand 3 Nehru Enclave Gomati Nagar,"Vishwas Khand3, Nehru Enclave, Near",Lucknow,Uttar Pradesh,226010.0,India,IN,clinic,private,Medical center offering comprehensive care by renowned professional with multiple degrees.,"[""familyMedicine""]",null,null,"[""Medical center offering comprehensive care"",""Ayurvedic medical services provided"",""Has 7 years of healthcare experience"",""Based in Gomti Nagar, Lucknow""]",0.0,true,false,null,null,null,26.86085128784170,80.9809112548828
Clasy Heart Care,"[""+919825699345""]",+919825699345,drparagsheth@yahoo.com,"[""heartsurgeryindia.com"",""http://heartsurgeryindia.com/"",""https://www.facebook.com/855242827919400""]",heartsurgeryindia.com,https://www.facebook.com/855242827919400,"602/b, Shilp Aaron, Opp. Armeida,","Nr. Pakwan Cross Road, S.g. Highway",Ahmedabad,Gujarat,380054.0,India,IN,clinic,private,Clasy Heart Care - Heart Surgery Specialists; Well experienced Medical team; Dr. Parag Sheth.,"[""familyMedicine"",""cardiacSurgery"",""vascularSurgery"",""transplantSurgery"",""internalMedicine"",""cardiothoracicSurgery""]","[""Mediastinal tumor excision"",""Heart transplant operations"",""Peripheral vascular bypass (aortofemoral, femoropopliteal)"",""Carotid endarterectomy"",""Varicose vein surgery"",""Beating heart bypass"",""Valve repair and replacement"",""Surgery for congenital heart diseases"",""Thymectomy"",""Cardiac arrhythmia surgery"",""Lung resection"",""Heart failure surgery (SVR)"",""Hybrid and minimally invasive heart surgery"",""Coronary bypass surgery"",""Total arterial bypass using LIMA-RIMA Y and T grafts (no leg incision)"",""A-V fistula creation"",""Decortication""]",null,"[""Provides a range of coronary, valvular, vascular and thoracic procedures including peripheral vascular bypass, carotid endarterectomy, thymectomy, mediastinal tumor excision, lung resection and decortication"",""Heart surgery specialty with experience of more than 14,500 coronary bypass and open heart operations"",""Offers hybrid and minimally invasive surgery""]",null,true,true,null,null,null,23.03945350646970,72.5094909667968
Clean & Correct Dentistry,"[""+918861925196""]",+918861925196,contact.cncdentistry@gmail.com,"[""https://www.justdial.com/Hyderabad/Clean-Correct-Dentistry-Near-Defence-Colony-Sainikpuri/040PXX40-XX40-210306121408-V8V6_BZDET"",""https://www.justdial.com/Hyderabad/Dentists-for-Maxillofacial-Prosthetics-in-Neredmet/nct-10156331-att-hos2652"",""https://www.practo.com/hyderabad/clinic/clean-correct-dentistry-sainikpuri"",""https://www.lybrate.com/hyderabad/clinic/clean-correct-dentistry"",""https://Www.Cncdentistry.com/"",""https://www.cncdentistry.com/contact-us"",""https://www.zoneadds.com/Clean-_-Correct-Dentistry/11381""]",https://Www.Cncdentistry.com/,https://www.facebook.com/103536961869986,"Plot No 780, 1st Floor, Verka Residency, Near Defence Colony",Sainikpuri,Hyderabad,Telangana,500094.0,India,IN,clinic,private,state-of-the-art dental clinic offering personalized care and ethical practices for optimal oral health. Opens at 11:00 AM.,"[""familyMedicine"",""orthodontics"",""prosthodontics"",""dentoalveolarSurgery"",""cosmeticDentistry"",""periodontics"",""oralAndMaxillofacialSurgery"",""dentistry"",""endodontics""]","[""Root Canal Treatment"",""Dental implants"",""Teeth Cleaning"",""Crown & Bridge"",""Orthodontic aligner therapy"",""Teeth Whitening"",""Provides esthetic dentistry services"",""Uses laser dentistry"",""Offers teeth aligners"",""Dentures"",""Jaw Pain"",""Offers dental braces"",""Performs dental implants"",""Teeth Straightening"",""Wisdom Tooth Extraction"",""Cosmetic Dentistry"",""Gum Treatment"",""Offers dental implant surgery"",""Laminates & Veneers""]","[""Dental chair with overhead lamp and integrated delivery unit with attached handpieces""]","[""Has 1 doctor on staff"",""Offers preventive dental care and routine check-ups"",""Specializes in dentistry"",""Offers advanced diagnostic procedures and specialized treatments"",""Dental clinic located in Sainikpuri, Hyderabad"",""Orthodontic services including clear aligners""]",4.0,true,true,null,null,null,17.47235870361320,78.5319442749023
Clear Minds Clinic,"[""+919056261728""]",+919056261728,drgagan91@gmail.com,"[""https://www.facebook.com/351042342121696"",""http://clearmindsclinic.in/"",""clearmindsclinic.in""]",clearmindsclinic.in,https://www.facebook.com/351042342121696,"Kalra Hospital Baba Than Singh Chownk, Near Samrala Chowk",null,Ludhiana,Punjab,141012.0,India,IN,clinic,private,Clear Minds Clinic is a place where you will find the treatment of your mental and physical problems,"[""familyMedicine""]",null,null,null,null,null,null,null,null,null,30.88357162475580,75.7684555053711
Clear Optics And Contract Lens Clinic,"[""+918806317347""]",null,null,"[""https://www.justdial.com/Pune/Clear-Optics-And-Contract-Lens-Clinic-Manik-Baug/020PXX20-XX20-171227194823-W1T1_BZDET/photos"",""https://www.justdial.com/Pune/Clear-Optics-And-Contract-Lens-Clinic-Manik-Baug/020PXX20-XX20-171227194823-W1T1_BZDET""]",null,https://www.facebook.com/100692102689118,Shop No 3 A Bhagwat Geeta Apartment,Sinhagad Road,Pune,Maharashtra,411051.0,India,IN,clinic,null,"Clear Optics And Contract Lens Clinic — Opticians, Sunglass Dealers, Spectacle Dealers, and Contact Lens Dealers.","[""familyMedicine"",""ophthalmology""]","[""Offers computerised eye testing""]",[],"[""Operates as an optician and contact lens clinic"",""Operates an optical/eye clinic in Pune"",""Operates a contract lens clinic"",""Provides optical dispensing services for eyeglasses and contact lenses"",""Established in 2014"",""Has been in business for 11 years""]",null,null,null,null,null,null,18.47203063964840,73.8209533691406
Click2Clinic Healthcare,"[""+919100919268""]",+919100919268,info@click2clinic.com,"[""https://www.facebook.com/clinicopediaapp/"",""https://www.justdial.com/Hyderabad/Click2clinic-Healthcare-INDIA-Pvt-Ltd-Near-Obul-Reddy-School-Backside-Gate-Jubilee-Hills/040PXX40-XX40-180927150533-J3K3_BZDET"",""click2clinic.com"",""http://click2clinic.com/"",""https://www.proceed.fit/hospital/Raja-Hospital-HYDERABAD-500073""]",click2clinic.com,https://www.facebook.com/974585855971290,"321, Road Number 25","Venkatagiri, Jubilee Hills",Hyderabad,Telangana,500073.0,India,IN,hospital,null,No waiting for long hours outside Consultation Rooms Nearest Doctor reaches Patient’s Home,"[""familyMedicine"",""internalMedicine""]",[],"[""Wheelchair-accessible entrance and exit""]","[""Established in 2016"",""Delivers home-based medical services and diagnostics"",""Has been in business for 9 years""]",1.0,false,false,653.0,0.0,0.0,17.43725967407220,78.4125366210937
Clinic 3 : Jln marg,"[""+919414065588"",""+916377766510""]",+916377766510,onlybracesjpr@gmail.com,"[""http://onlybraces.com/"",""https://onlybraces.com/contact-us/"",""onlybraces.com"",""https://www.indiamart.com/messrs-dranirudhagarwal/aboutus.html"",""https://onlybraces.com/"",""https://www.facebook.com/1622683461363608""]",onlybraces.com,https://www.facebook.com/1622683461363608,"F-25, Ivth Avenue","Lal Bhadur Nagar (w), Jln Marg",Jaipur,Rajasthan,302018.0,India,IN,clinic,private,Clinic 3 : Jln marg,"[""familyMedicine"",""dentistry"",""orthodontics"",""internalMedicine""]","[""Provides early orthodontics treatment services"",""Offers Metal Braces"",""Offers Invisalign treatment"",""Offers Invisalign First treatment"",""Offers Vivera retainers"",""Provides Incognito lingual braces"",""Provides Invisalign aligner therapy"",""Offers Lingual Braces"",""Offers Ceramic Braces"",""Provides adult orthodontics treatment services"",""Offers Gold Braces"",""Provides Invisalign orthodontic treatment services"",""Offers Self Ligation Braces"",""Provides Vivera retainers"",""Offers Invisalign First"",""Provides two phase orthodontics treatment services"",""Offers orthodontic braces treatment"",""Provides Invisalign aligners for orthodontic treatment""]","[""iTero intraoral scanner"",""Has iTero scanner for digital impressions""]","[""CEO: Dr. Anirudh Agarwal"",""Offers Invisalign-based orthodontic treatment"",""Orthodontic clinic led by Dr. Anirudh Agarwal"",""Has approximately 1,000 likes and 996 followers"",""Centers in Jaipur at C-Scheme and IV Th Avenue"",""Founded in 2000"",""Lingual braces certified by Incognito and 3M"",""Has over 18 years of running exclusive orthodontics"",""Provides outpatient orthodontic care"",""Orthodontic clinic offering Invisalign orthodontic treatment"",""Specialized orthodontic care"",""Uses advanced orthodontic technology as claimed on the page"",""Has 31 reviews with 100% recommendation"",""Dr. Anirudh Agarwal is the orthodontist associated with Clinic 2: C-scheme"",""Invisalign provider (in hashtags and content)"",""Exclusive orthodontics center""]",4.0,true,true,996.0,1000.0,null,26.84959983825680,75.7980651855468
Clinic Dr Sabbir Ahmad,"[""+919350910454""]",null,null,"[""https://www.facebook.com/442496122752194""]",null,https://www.facebook.com/442496122752194,Surajpur Kasna Road,null,Greater Noida,Uttar Pradesh,203201.0,India,IN,clinic,null,"Medical Center located on Surajpur Kasna Road, Greater Noida.","[""familyMedicine""]",null,null,null,1.0,false,false,1.0,1.0,1.0,28.43347358703610,77.5756072998046
